"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"1","CH-HB9CFG-BM-Gen","430.77500","432.37500","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","On","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"2","CO-IK2UIZ Olgia1","430.23750","431.83750","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","2","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","On","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"3","MI-IZ2MYB-BM-Ci1","430.46250","435.46250","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"4","BG-IR2UED-BM-Va1","431.51250","433.11250","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"5","MI-IK2ILW-BM-Mi1","431.46250","433.06250","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"6","CO-IR2UGV-BM-Sta","431.36250","432.96250","D-Digital","High","12.5K","Off","Off","222030 BS","Group Call","222030","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","2","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"7","MI-IR2ZZZ-BM-Mi0","430.96250","435.96250","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"8","LC-IR2ZZX-BM-Ga1","430.97500","435.97500","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"9","PV-IR2UDS-BM-Pe1","431.37500","432.97500","D-Digital","High","12.5K","Off","Off","222 Italia","Group Call","222","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","1","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"10","CH-HB9GFG-BM-Gen","430.77500","432.37500","D-Digital","High","12.5K","Off","Off","22221 Lombardia","Group Call","22221","IU2RKO","Always","Carrier","Off","1","1","1","Off","1","2","Lombardia DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","On","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
